vesselName,imoNumber,flag,vesselType,grossTonnage,mmsiNumber,yearBuilt
LEO STAR I,9044011,LR,BULK CARRIER,13696,636015065,1993
RDO CONCEPTION,9306158,LR,CONTAINER SHIP,73934,636092930,2006
GAS EVOLUZIONE,9142318,PA,LPG,3504,357510000,1996
KST SUCCESS,9568304,SG,TUG BOAT,246,563024910,2010
HAWKS GLORY,9207857,PA,TANKER,5994,352542000,1998
EMIRATES WAFA,9306160,LR,CONTAINER SHIP,73934,636016855,2006
BRAMCO 1,8814639,BH,TANKER,26162,408832000,1990
SEA GULL 9,9175092,BZ,CHEMICAL TANKER,6663,477756000,1998
WARNOW TROUT,9437232,CY,CONTAINER SHIP,9946,209540000,2008
GRAND MEREYA,9338929,CY,LPG,120525,209856000,2008
HAFNIA SHENZHEN,9863223,SG,PETROLEUM/CHEMICAL TANKER,43693,563108400,2015
EASTERN CORAL,9633848,HK,GENERAL CARGO,4559,477739500,2010
FJ STAR,9797682,PA,BULK CARRIER,35025,353038000,2016
EASTERN OPAL,9633850,HK,GENERAL CARGO,4559,477083300,2010
KST SUMMIT,9568316,SG,TUG BOAT,246,563024890,2010
MAERSK PUELO,9306172,PA,CONTAINER SHIP,73934,636013061,2006
BULK HERO,9797694,PA,BULK CARRIER,35024,351516000,2016
YUE YOU 902,9175107,HK,CHEMICAL TANKER,6663,477755000,1998
QI CHEN,9044035,HK,BULK CARRIER,13712,477612800,1993
WEI HE,9601091,HK,BULK CARRIER,43550,477024200,2011
ASIA PEARL VI,9502790,SG,BULK CARRIER,22402,566247000,2010
PSA THOR,9830472,SG,TUG BOAT,496,563060200,2018
EMIRATES SANA,9306184,LR,CONTAINER SHIP,73934,636016850,2006
WARNOW CARP,9437256,CY,CONTAINER SHIP,9946,209539000,2007
PSA HULK,9830484,SG,TUG BOAT,496,563060100,2018
OLYMPIC LEOPARD,9470040,GR,TANKER,170611,241380000,2011
ISSARA NAREE,9732187,TH,BULK CARRIER,36298,567278000,2014
SEABOURN OVATION,9764958,BS,PASSENGER VESSEL,41865,311000585,2018
PRETTY IVY,9502817,PA,BULK CARRIER,22402,370516000,2011
BAOGANG SPIRIT,9437282,PA,BULK CARRIER,152311,353932000,2010
SAUGER,9273442,MH,TANKER,41503,210225000,2004
DESH VISHAL,9371749,IN,TANKER,162412,419778000,2009
TORM SUPREME,9797735,SG,PETROLEUM/CHEMICAL TANKER,29256,563033900,2015
INTHIRA NAREE,9732199,TH,BULK CARRIER,36298,567019000,2013
UNISON,9404522,PA,GENERAL CARGO,7375,356814000,2007
GUDALI EXPRESS,9764972,SG,LIVE-STOCK VESSEL,10421,564168000,2015
PRETTY JACK,9502829,PA,BULK CARRIER,22402,356087000,2011
PRETTY KEEL,9502831,PA,BULK CARRIER,22402,372901000,2011
FEYHA,9470064,MH,BULK CARRIER,43827,538009129,2010
ATLANTIC HARMONY,9797747,MH,TANKER,29256,538007428,2017
JOTAGAS,9131101,AG,LPG,5420,304414000,1996
PRETTY LAMB,9502843,PA,BULK CARRIER,22402,373656000,2012
STAR FLAME,9470076,KY,BULK CARRIER,43827,319115400,2010
ABB VANESSA,9437309,PA,GENERAL CARGO,9611,305382000,2009
ATLANTIC INFINITY,9797759,MH,TANKER,29256,538007429,2017
JANIS,9437311,PA,GENERAL CARGO,9611,371471000,2009
HMM ALGECIRAS,9863297,PA,CONTAINER SHIP,228283,351297000,2020
BBC BRAZIL,9535618,AG,GENERAL CARGO,8059,305700000,2008
SERIANA,9732228,MT,TANKER,57997,256627000,2015
STADE,9535620,AG,GENERAL CARGO,8059,305772000,0
STELLATA,9732230,MT,TANKER,57997,256349000,2016
SONNE,9633927,DE,RESEARCH/SURVEY VESSEL,8554,211627240,2013
DORSET,9470088,GB,LPG,45812,235089774,2010
HMM COPENHAGEN,9863302,PA,CONTAINER SHIP,228283,356712000,2020
PYTHAGORAS,9502855,BS,BULK CARRIER,31815,311061300,2011
ROSA DINI,9240718,ID,TANKER,23301,525119081,2003
EMMANUEL,9240720,ID,TANKER,23217,525119139,0
MYSTRAS,9601168,BS,BULK CARRIER,33361,311000080,2013
PACIFIC TREASURES,9732242,MH,TANKER,62615,538006773,2016
MAERSK EDIRNE,9502867,SG,CONTAINER SHIP,142121,563090500,2011
ELIKON,9601170,BS,BULK CARRIER,33361,311000081,2013
LUTUF,9109653,CM,GENERAL CARGO,199,613003549,1994
HMM DUBLIN,9863314,PA,CONTAINER SHIP,228283,356429000,2020
HADDOCK,9306263,LR,CONTAINER SHIP,9957,636019762,2005
SEAROVER,9765017,MT,TANKER,63758,249984000,2017
PHUONG DONG STAR,9404572,VN,TANKER,5256,574068000,2006
HMM GDANSK,9863326,PA,CONTAINER SHIP,228283,374241000,2020
HALIBUT,9306275,LR,CONTAINER SHIP,9957,304815000,2005
SEARUNNER,9765029,MT,TANKER,63758,249986000,2017
KING PHILIPPOS,9601194,MT,TANKER,62375,229046000,2012
HMM HAMBURG,9863338,PA,CONTAINER SHIP,228283,374102000,2020
HMM HELSINKI,9863340,PA,CONTAINER SHIP,228283,357992000,2020
PACIFIC A DORODCHI,9732266,MH,TANKER,62397,538006921,2016
EMIRATES DANA,9306287,LR,CONTAINER SHIP,73934,636016856,2007
PACIFIC NAFSIKA,9732278,MH,TANKER,62397,538006922,2016
PACIFIC NINGBO,9339064,LR,CONTAINER SHIP,7545,636018757,2006
RED ZED I,9633977,LR,HEAVYLOAD SEMI-SUBMERSIBLE,37071,636016990,2015
ARANDA,9601211,SG,TANKER,1602,566065000,2010
CLIPPER SATURN,9699517,NO,LPG,37366,257695000,2015
MAERSK EMERALD,9502910,SG,CONTAINER SHIP,141754,563090400,2011
RED ZED II,9633989,LR,HEAVYLOAD SEMI-SUBMERSIBLE,37071,636016991,2015
DENSA WHALE,9601223,MH,TANKER,81186,538004593,2012
WISE SW,9568457,PA,GENERAL CARGO,8435,355887000,2008
WHYALLA,8618188,LR,BULK CARRIER,11673,636092987,1987
PW TENTU,9797838,SG,TUG BOAT,294,563983000,2015
HOETEK 19,9863376,SG,PETROLEUM PRODUCT TANKER (>=60C),1492,563048100,2013
PACIFIC DALIAN,9339090,LR,CONTAINER SHIP,7545,210919000,0
AL DHAIL,9732307,MH,CONTAINER SHIP,153148,538005843,2016
DENSA ORCA,9601235,MH,TANKER,81186,538004594,2011
SEOUL,9208021,LR,CONTAINER SHIP,66289,218153000,2000
YOUNGHEUNG,9502934,MH,BULK CARRIER,93152,538007072,2010
RAKIS,9568471,BN,CHEMICAL TANKER,4945,508035000,2008
LUZERN,9240794,CH,BULK CARRIER,27990,269036000,2002
AL MASHRAB,9732319,MH,CONTAINER SHIP,153148,538005844,2016
AL JASRAH,9732321,MH,CONTAINER SHIP,153148,538005845,2016
MAERSK ENSHI,9502946,PA,CONTAINER SHIP,141754,355288000,2012
OCEAN TREASURE,9437414,HK,BULK CARRIER,50725,477903700,2009
G DOLCE,9797864,PA,LPG,47287,353700000,2018
MSC DANIT,9404649,PA,CONTAINER SHIP,153092,357051000,2009
SEA REEFER,9175274,PA,REEFER VESSEL,6971,273374170,2001
MSC CAMILLE,9404651,PA,CONTAINER SHIP,153092,354625000,2009
UMM QARN,9732333,MH,CONTAINER SHIP,153148,538005846,2016
MAERSK ENSENADA,9502958,PA,CONTAINER SHIP,141754,235095936,2013
SAKURA ADVANCE,9568495,PA,CHEMICAL TANKER,19349,371880000,2010
MSC RUBY,9502960,LR,CONTAINER SHIP,141754,235096684,2013
MACALLAN 18,9830642,MY,TUG BOAT,299,533170505,2017
ANL DILI TRADER,9371892,LR,GENERAL CARGO,5316,636017911,2007
G SPIRIT,9797876,PA,LPG,47287,372714000,2018
MSC SONIA,9404663,PA,CONTAINER SHIP,153092,353160000,2010
AFIF,9732345,MH,CONTAINER SHIP,153148,538005847,2017
GEOHOLM,9339129,IM,RESEARCH/SURVEY VESSEL,4454,235010720,2005
FREEDOM GLORY,9863417,MH,TANKER,62416,538009036,2020
MAERSK ESMERALDAS,9502972,PA,CONTAINER SHIP,141754,357104000,2013
AJISAI,9896189,PA,BULK CARRIER,13093,0,2020
NORTHWEST SANDPIPER,8913150,AU,LNG,105010,503002000,1993
SEA GLAMOUR,9208057,PA,TANKER,80870,419689000,2000
KOKUKA VIGOROUS,9568512,PA,CHEMICAL TANKER,19349,355011000,2011
PW TENTERAM,9797888,SG,TUG BOAT,294,563990000,2015
MSC MELATILDE,9404675,PA,CONTAINER SHIP,153092,357240000,2010
MCP BILBAO,9371907,LR,GENERAL CARGO,5316,248981000,2007
AL JMELIYAH,9732357,MH,CONTAINER SHIP,153148,538005848,2017
STELLAR EAGLE,9044229,PA,BULK CARRIER,154759,353476000,1992
QUAN XIANG,9208069,PA,TANKER,80870,419688000,2000
AMADEA,8913162,BS,PASSENGER VESSEL,29008,308445000,1991
HAI JI,9273612,HK,BULK CARRIER,40160,215857000,2004
EAGLE,9077006,CK,TANKER,5049,518100851,1994
SANMAR SANTOOR,9240847,IN,TANKER,28552,538004142,2002
MARAN GAS VERGINA,9732369,GR,LNG,113037,241467000,2016
POSH ZEST,9797905,SG,TUG BOAT,294,563023200,2015
MARAN GAS OLYMPIAS,9732371,GR,LNG,113037,241452000,2016
APL PARIS,9601302,SG,CONTAINER SHIP,128929,566704000,2012
CNTIC VPOWER ENERGY,8913174,LR,LNG,106283,310028000,1992
GUI FEI,9634074,PA,LPG,3313,373621000,2011
DANUM MAS,9371933,ID,CONTAINER SHIP,5317,636092917,2006
ARTEMIS,8519966,TH,LPG,47249,567481000,0
MORNING EXPRESS,9208095,PA,TANKER,56285,353350000,2000
PRIMO I,9208095,PW,TANKER,56285,372948000,2000
PRIMO I,9208095,PA,TANKER,56285,372948000,0
APL DUBLIN,9601314,SG,CONTAINER SHIP,128929,566705000,2012
SPICA,9273636,TV,TANKER,30018,572142220,2004
HAEIN HOPE,9470246,KR,CHEMICAL TANKER,7218,440138000,2008
GASLOG SEATTLE,9634086,BM,LNG,98075,310669000,2013
MCP KOPENHAGEN,9371945,LR,GENERAL CARGO,5536,636017915,2007
BOMAR RESILIENT,9240873,LR,CONTAINER SHIP,27093,636019443,2002
SOL 1010,8782123,ID,TUG BOAT,143,525009342,2014
POLAR BRIGHT,9732395,MH,TANKER,62392,538007916,2018
ROLLDOCK SKY,9404716,NL,HEAVYLOAD SEMI-SUBMERSIBLE,12802,244620571,2016
GIANT SLOTTA,9339181,MH,BULK CARRIER,88930,538007199,2006
CHANGJIANGZHIXIANG,9535785,CN,TANKER,156726,414035000,2011
NEW SPRING,9535785,HK,TANKER,156726,477585600,2010
AMIS HERO,9732400,PA,BULK CARRIER,35825,374677000,2017
BALTIC COMMANDER I,9208112,LR,TANKER,23235,636092648,2000
LYDIA OLDENDORFF,9699634,LR,BULK CARRIER,107553,636016585,2015
ENDEAVOUR,9273650,01,TANKER,30032,564207000,2003
BRUNO,9273650,LR,TANKER,30032,636018672,0
SOLARIS,9634098,BM,LNG,98075,310679000,2013
VALLIANZ CHAMPION,9503029,01,TUG BOAT,1991,0,2009
CAIDA STAR,9240885,HK,TANKER,30128,477594700,2002
MCP LONDON,9371957,LR,GENERAL CARGO,5316,636017913,2007
NEW PEACE,9535797,HK,TANKER,156726,477712900,2010
VALLIANZ SWIFT,9503031,01,TUG BOAT,1991,0,2009
NORDANA MALEE,9437490,TH,GENERAL CARGO,8479,567383000,0
SEAWAYS MILOS,9470258,MH,CHEMICAL TANKER,30031,538004376,2011
AMIS INTEGRITY,9732412,PA,BULK CARRIER,35825,353424000,2017
IOLI,9601340,LR,BULK CARRIER,44133,636015549,2011
DEVON EXPRESS,9142590,LU,LIVE-STOCK VESSEL,6171,235651000,0
CHEN YU NO 7,7930175,TW,FISHING VESSEL,1872,416308000,0
PIET,9568574,LR,BULK CARRIER,51225,636092074,2011
SOUNI,9371969,CY,GENERAL CARGO,5316,209907000,2007
BOS BROOK,9437505,VC,BULK CARRIER,20924,375278000,2010
PACIFIC GANNET,9666883,SG,TUG/SUPPLY VESSEL,3585,565093000,2013
MCP FAMAGUSTA,9371971,CY,GENERAL CARGO,5315,209611000,2008
TOYAMA,9240897,LR,TANKER,30128,636020188,2002
PVT ATHENA,9208136,VN,TANKER,60100,574428000,2000
AMIS JUSTICE,9732424,PA,BULK CARRIER,35825,373361000,2017
ALCMENE,9568586,MH,BULK CARRIER,51255,538004123,2009
LIMA VALERIE,9371983,ID,GENERAL CARGO,5316,566964000,2007
S O L 1009,8782159,ID,TUG BOAT,149,525020369,2014
VALLIANZ COMMANDER,9503055,SG,OFFSHORE SUPPLY VESSEL,3161,566581000,2009
VALLIANZ PRELUDE,9601364,TV,SUPPLY VESSEL,2181,525015891,2009
WAN HAI 231,9208150,SG,CONTAINER SHIP,17751,565130000,1999
MBA GIOVANNI,9568598,IT,BULK CARRIER,51255,247287100,2010
BASIC PIONEER,9470296,PA,BULK CARRIER,22863,373872000,2011
ANNABELLE,9306457,MH,CHEMICAL TANKER,27505,538009027,0
KITE ARROW,9077082,BS,GENERAL CARGO,36008,309764000,1997
VALLIANZ STEADFAST,9503067,SG,OFFSHORE SUPPLY VESSEL,3161,566711000,2009
TORM HERDIS,9797981,SG,CRUDE OIL TANKER,64459,563034600,2015
SANTA SOPHIA,9404766,PA,BULK CARRIER,58100,352652000,2004
BRIGHT OCEAN,9470301,PA,BULK CARRIER,22863,373816000,2012
PACIFIC GRACKLE,9666912,SG,TUG/SUPPLY VESSEL,3585,563465000,2014
BROMPTON SUN,9240926,PA,UTILITY VESSEL,448,352266000,2000
WAN HAI 232,9208162,TW,CONTAINER SHIP,17751,416047000,1999
YUN TONG 501,9634141,CN,TUG BOAT,1689,413443060,2011
BLUE OCEAN,9372004,CY,GENERAL CARGO,5536,209486000,2008
HAI DUONG 01,9109861,PA,GENERAL CARGO,6141,440385000,1994
CINDERELLA,9306469,MH,TANKER,27505,538009089,2005
POSH DAUNTLESS,9503079,TV,TUG BOAT,3208,566968000,2013
BUNUN JUSTICE,9732448,PA,BULK CARRIER,23239,352834000,2017
POSH DARING,9503081,01,TUG BOAT,3208,563031200,2010
TORM HERMIA,9797993,SG,TANKER,64459,563047500,2015
KHARIS TRINITY,9470313,KR,BULK CARRIER,17018,441553000,2010
NAVIGATOR GEMINI,9404780,LR,LPG,18311,636014077,2009
ANL DARWIN TRADER,9372016,CY,GENERAL CARGO,5338,210040000,2008
ZHI XIAN ZHI XING,9830769,MH,GENERAL CARGO,18401,413380240,2018
TORM HELLERUP,9798002,SG,TANKER,64459,563054400,2015
ALLIANZ STEEL,9273715,MH,TUG BOAT,2061,564244000,2004
ROSSINI,9306483,LR,CONTAINER SHIP,25406,636091741,2005
POSH DEFENDER,9503093,TV,TUG BOAT,3208,572249220,2010
JUMBO KINETIC,9634165,NL,HEAVYLOAD SEMI-SUBMERSIBLE,18099,244810054,2014
SECRETARIAT,9699701,PA,BULK CARRIER,93735,354973000,2015
CHANG CHANG NAN HAI,9535864,CN,BULK CARRIER,33036,477749100,2010
THAI BINH 01,9568627,VN,GENERAL CARGO,8216,574000550,2010
CRYSTAL ISLAND,9470325,PA,BULK CARRIER,17027,372562000,2010
ARWA SPIRIT,9339260,MH,LPG,104169,538003267,0
LEMIN,9175420,CN,GENERAL CARGO,15589,412016000,1999
TORM HILDE,9798014,SG,CRUDE OIL TANKER,64459,563060700,2015
APL THAILAND,9077123,LR,CONTAINER SHIP,64502,636019126,1995
HE SHUN,9044358,LR,REEFER VESSEL,12413,1,1991
LEYE,9175432,CN,GENERAL CARGO,15589,412015000,2000
HAI SOON 5,9109897,DM,TANKER,1998,325114500,1994
MSC PINA,9339272,PA,CONTAINER SHIP,107849,372973000,2007
AMPHION,9830795,LR,TANKER,161983,636018811,2019
TAMARA,8880523,MN,REEFER VESSEL,683,457900478,0
ALBY MELODY,9109902,PA,BULK CARRIER,26047,354963000,1995
AMYNTAS,9830800,LR,TANKER,161983,636018812,2019
NAVIGATOR VIRGO,9404819,LR,LPG,18311,564449000,2009
MSC CANDICE,9339284,PA,CONTAINER SHIP,109109,352871000,2007
LETONG,9175444,CN,GENERAL CARGO,15589,412014000,2000
HELLAS GLADIATOR,9732503,MT,LPG,48022,256742000,2016
ARCADIA V,9208215,PA,TANKER,159577,355524000,2000
HAI DUONG 68,9568665,VN,SUPPLY VESSEL,2903,574004520,2012
ANDRONIKOS,9830812,LR,TANKER,161983,636018813,2019
SUMMIT SPIRIT,9404833,BS,TANKER,81732,309022000,2008
HELLAS SPARTA,9732515,MT,LPG,48022,249401000,2016
GREAT OCEAN,9306536,VN,TANKER,8753,574379000,2007
AGITOS,9830824,LR,TANKER,161983,636018814,2019
LNG FUKUROKUJU,9666986,BS,LNG,127242,311000365,2016
ZENITH SPIRIT,9404845,BS,TANKER,81732,308329000,2009
BW BALDER,9732527,MH,LPG,47384,538006835,2016
BARLIAN 31,9568691,ID,TUG BOAT,263,525015642,2007
BW TRADER,9306548,SG,LPG,46632,565593000,2005
MAERSK SEOUL,9306550,LR,CONTAINER SHIP,94483,636091269,2006
LNG JUROJIN,9666998,BS,LNG,136739,311000420,2015
OOCL LE HAVRE,9404857,HK,CONTAINER SHIP,40168,477655700,2009
BW BRAGE,9732539,MH,LNG,47384,538006837,2016
HELLAS MARIANNA,9798076,MT,CHEMICAL TANKER,29450,249936000,2018
ARAL,9732541,BE,TANKER,154133,205764000,2000
DONALD,9273791,LR,GENERAL CARGO,10899,636018211,2006
EAST RIVER,9109952,PA,GENERAL CARGO,5471,0,1995
OOCL GUANGZHOU,9404869,HK,CONTAINER SHIP,40284,477738700,2009
OOCL SAVANNAH,9404871,HK,CONTAINER SHIP,40284,477738900,2009
HELLAS CALAFIA,9798088,MT,CHEMICAL TANKER,29450,215744000,2018
AEGEAN,9732553,BE,TANKER,154133,205761000,2016
NS LOTUS,9339337,LR,TANKER,61449,636013275,2008
IDIL,9109964,PA,BULK CARRIER,16712,373306000,1994
KING PEACE,9568718,HK,BULK CARRIER,43445,477213300,2009
DAISY,9273806,LR,GENERAL CARGO,10899,636018226,2006
BULK PATAGONIA,9503184,LR,BULK CARRIER,33090,636019162,2012
CTP EAGLE,9077202,ID,CONTAINER SHIP,11788,525015479,1994
OOCL JAKARTA,9404883,HK,CONTAINER SHIP,40284,477738800,2009
MICLYN GRACE,9535955,PA,SUPPLY VESSEL,1504,355859000,2007
ARDECHE,9732565,BE,TANKER,154139,205710000,2017
MAHOGANI BANDA,9830874,ID,TANKER,2201,525119034,2015
SERENO,9437658,MT,TANKER,42344,215283000,2009
SEA TAURUS,9273818,LR,BULK CARRIER,39729,636015148,2004
GALAXY 8,9699804,ID,LANDING CRAFT,855,525018150,2012
MASAGANA,9404895,BM,CHEMICAL TANKER,8627,310705000,2008
AQUITAINE,9732577,BE,TANKER,154139,205709000,2016
OCEAN ROAD,9503201,PA,BULK CARRIER,93359,357314000,2009
PVT NEPTUNE,9404900,PA,CHEMICAL TANKER,8581,356107000,2008
CLIPPER ENDEAVOUR,9274458,BS,BULK CARRIER,30012,311639000,2004
VOS SHINE,9601510,PT,SUPPLY VESSEL,1769,246060000,0
LIBRA,9568744,SG,PETROLEUM PRODUCT TANKER (>=60C),1912,565553000,2008
STEALTH BERANA,9437672,LR,TANKER,61341,636019903,2010
RS TARA,9765354,MH,TANKER,82779,538006648,2016
SEAMAX ROWAYTON,9732589,MH,CONTAINER SHIP,93702,538006664,2015
MAERSK SARAT,9732591,LR,CONTAINER SHIP,93702,636017102,2015
SC TAIPEI,9175535,HK,CHEMICAL TANKER,13753,477108300,1998
ARISTOS,9241073,KM,TANKER,27505,620836000,2004
AVENIR ADVANTAGE,9830898,MY,LNG,7817,533131195,0
AFRAMAX RIO,9273844,PA,TANKER,57948,373641000,2004
ITHAKI WARRIOR,9765366,GR,TANKER,82779,241580000,2017
CELEBES CLOVER,9503225,PA,BULK CARRIER,107054,372953000,2014
K PROMISE,9044475,PA,BULK CARRIER,75254,352909000,1993
C GALAXY,9404924,PA,TANKER,162180,354231000,2009
MORLAND,9241085,PA,TANKER,27505,477410600,0
COSCO SHIPPING PANAMA,9732606,MH,CONTAINER SHIP,93702,538006767,2016
KUDOS,9306627,MH,TANKER,61724,538007766,2007
CROWN VICTORY,9077252,BD,BULK CARRIER,26818,405000117,1994
SAMAIL,9503237,PA,TANKER,156836,357867000,2011
PRO ALLIANCE,9404936,PA,TANKER,58614,370309000,2008
NJORD,9241102,BZ,TANKER,161306,351874000,2003
ISHIKARI,8323599,PA,REEFER VESSEL,2829,356189578,1983
SEMBRANI,9306639,MH,TANKER,61724,538009238,2007
ORE NOUMEA,9503249,JP,BULK CARRIER,151289,432882000,2010
PRADAPA,9044499,ID,TANKER,21804,525007020,2005
PRO TRIUMPH,9404948,PA,TANKER,57773,351486000,2009
OTTOMAN EQUITY,9404950,TR,TANKER,79934,271002613,2008
DESERT ORCHID,9798167,SG,LPG,17232,563032100,2015
OCEANA,9667095,HK,BULK CARRIER,43962,477300700,2014
LARGO MARINER,9699866,MH,CHEMICAL TANKER,29407,538007574,2018
PERFECT,9241114,LR,TANKER,161306,636019687,2003
VITAOCEAN,9470492,PA,BULK CARRIER,43013,355402000,2013
SANDERUS,9830941,LU,DREDGER,7727,253661000,2019
DANCING BRAVE,9798179,SG,LPG,17232,563033300,2015
VIRGO LEADER,9273894,PA,VEHICLE CARRIER,61854,356577000,2004
PALONA,9667112,HK,BULK CARRIER,43962,477848500,2014
KITSOS,9568809,IM,TANKER,159963,232031372,2010
MOREA,9699880,MT,BULK CARRIER,34939,256114000,2015
IONIC KLEOS,9470507,MH,BULK CARRIER,43013,538005444,2014
ESHIPS PROGRESS,9503275,MH,BULK CARRIER,33044,538007147,2012
KOTA ANGGERIK,9175597,SG,CONTAINER SHIP,17652,563906000,1998
G2,9208368,NR,CONTAINER SHIP,19131,563914000,1999
KOTA ANGGUN,9175602,SG,CONTAINER SHIP,17652,563887000,1998
DARYA MAHESH,9339442,HK,BULK CARRIER,31258,477071600,2004
MAINA,9699892,MT,BULK CARRIER,34939,256112000,2016
KHK EMPRESS,9830965,SG,VLCC,160682,563073400,2018
NASCO GEM,9404986,PA,BULK CARRIER,30962,357097000,2009
KOTA ARIF,9175614,SG,CONTAINER SHIP,17652,563884000,1998
AKIJ HERITAGE,9339454,BD,BULK CARRIER,31236,405000200,2008
WOOHYUN GREEN,9601601,KR,GENERAL CARGO,11481,440030000,2010
KHK MAJESTY,9830977,SG,CRUDE OIL TANKER,160682,563080700,2018
CORAL GEM,9404998,MH,BULK CARRIER,30962,538003705,2010
E POWER 87,8618566,CK,TANKER,1006,518994000,1986
KOUROUPI,9339466,MH,BULK CARRIER,31236,538007344,2008
AMAZON,9830989,MH,BULK CARRIER,44071,538008013,2019
THALASSA MANA,9667150,LR,CONTAINER SHIP,148667,636018700,2014
EM JADE,9405007,PA,BULK CARRIER,30962,371568000,2006
ARTEMIS I,9830991,MH,BULK CARRIER,44071,538008014,2019
STOLT MOMIJI,9470545,KY,CHEMICAL TANKER,7228,319034900,2010
PYXIS ALFA,9765457,SG,LPG,46884,563019900,2015
PROSPER BEE,9339478,LR,BULK CARRIER,31236,636020015,2008
LE SPHINX,9372248,MU,BARGE,3843,253312000,2005
THALASSA TYHI,9667162,LR,CONTAINER SHIP,148667,636018702,2014
LUMINOUS ACE,9110107,PA,VEHICLE CARRIER,45796,370372000,1995
SAMWOH COURAGE,9503328,SG,TUG BOAT,137,0,2008
PENINSULA IX,9831012,IM,TANKER,12091,232018328,2018
HAFNIA MIKALA,9732709,MT,CHEMICAL TANKER,29658,249836000,2017
THALASSA DOXA,9667174,01,CONTAINER SHIP,148667,636018703,2013
SPIL NINGSIH,9273959,ID,CONTAINER SHIP,25709,525100502,2003
JINSEI MARU,8913514,LR,VEHICLE CARRIER,58117,431174000,1990
DACHI,9306732,CN,TANKER,26955,413139000,2005
PENINSULA X,9831024,IM,CHEMICAL TANKER,12091,232023169,2019
THALASSA AXIA,9667186,LR,CONTAINER SHIP,148667,636018701,2014
YUAN KUN YANG,9847621,HK,TANKER,159819,477615700,2020
AS CARINTHIA,9241205,LR,CONTAINER SHIP,28596,218693000,2003
THORCO LUNA,9699957,PA,GENERAL CARGO,13110,357304000,2014
CHENG SHAN WEI,9634426,CN,GENERAL CARGO,6980,413326260,2011
PACIFIC PANDA,9503354,SG,TUG/SUPPLY VESSEL,1329,564523000,2009
JAYA FUJIM,8520317,GQ,TANKER,975,631728000,0
PAGERUNGAN,9601663,ID,TANKER,14458,525008119,0
FAIR SEAS,9405057,MH,TANKER,62856,538090540,2008
FAIRWIND LEGION,9699969,PA,GENERAL CARGO,13110,371153000,2015
PACIFIC CENTURY,9568902,HK,BULK CARRIER,94710,477389400,2010
CBC FUYI,9634440,HK,BULK CARRIER,43974,477325300,2012
PANGKALAN BRANDAN,9601675,ID,TANKER,14458,525008095,2011
TENDRA TRADER,9863821,PA,BULK CARRIER,36106,374211000,2020
CAPE RAY,9405071,MH,BULK CARRIER,91373,538090370,2007
QIAN DAO HU,9437842,PA,GENERAL CARGO,4109,352766000,2009
PACIFIC VISTA,9568914,HK,BULK CARRIER,94710,477091500,2011
BINA MARINE 107,9634452,SG,TUG BOAT,143,563022630,2012
CONCORD,9274006,ID,TANKER,5367,525119166,2003
ARIZONA LADY,9831062,SG,TANKER,60465,563082100,2018
PANGNIU,9798296,SG,TANKER,20421,563004800,2015
LUNA SPIRIT,9372315,PA,VEHICLE CARRIER,43810,372610000,2007
